年月日,平均気温(℃),降水量の合計(mm),平均風速(m/s),日照時間(時間),平均現地気圧(hPa)
2015/1/1,3.7,0,4.4,1.3,1000.4
2015/1/2,2.7,0,2.1,6,1007.4
2015/1/3,3.8,0,3,8.9,1012
2015/1/4,4,0,1.3,6,1010.4
2015/1/5,6.9,0,2.4,8.9,1014.6
2015/1/6,10.8,6.5,5.2,0.2,1000.6
2015/1/7,5.6,0,4.2,3.3,1000.5
2015/1/8,6.2,0,4.4,8.9,1006.2
2015/1/9,6.7,0,4.1,8.9,1008.2
2015/1/10,6.3,0,3.5,9.1,1008.8
2015/1/11,6.4,0,2.7,9.1,1008.7
2015/1/12,5.2,0,4.6,9.1,1016.3
2015/1/13,6.6,0,3.3,9.1,1024.9
2015/1/14,6.6,0,1.6,5.9,1023.9
2015/1/15,5.4,35.5,3.2,0,1009.7
2015/1/16,8.9,0,2.8,6.9,1009.7
2015/1/17,5.9,0,4.2,6.9,1004.9
2015/1/18,4.7,0,3.3,9.3,1014.6
2015/1/19,5.7,0,2.5,9,1008.8
2015/1/20,6.3,0,3.6,9.2,1018.9
2015/1/21,2.5,4,3.1,0,1024.3
2015/1/22,4.6,7.5,2.4,0,1009
2015/1/23,6.9,7.5,4.3,6.8,1004.1
2015/1/24,4.9,0,2.4,0.4,1018.3
2015/1/25,7,0,2,7.1,1024.3
2015/1/26,9,0.5,2,4.4,1019.1
2015/1/27,9.8,14.5,3.1,5.1,1007
2015/1/28,5.2,0,4,6.2,1014.7
2015/1/29,3.9,0,2.5,6.6,1023.4
2015/1/30,2.2,16.5,3.3,0,1013.9
2015/1/31,4.9,0,4.4,9.4,1008.8
2015/2/1,4,0,5.5,9.6,1016.5
2015/2/2,4.7,0,4.7,9.6,1018.8
2015/2/3,4.7,0,2.5,9.4,1019.2
2015/2/4,5.2,0,2.3,7.6,1017.2
2015/2/5,2.6,9,2.5,0,1011
2015/2/6,5.4,0,2.8,8.9,1013.4
2015/2/7,5.3,1.5,2.4,3.6,1019.2
2015/2/8,4,6,1.9,0.3,1007.4
2015/2/9,2,0,3.2,1.7,1007.3
2015/2/10,3.2,0,2.2,9.6,1008.3
2015/2/11,5.6,0,2,9.7,1009.1
2015/2/12,7,0,1.7,9.5,1001.6
2015/2/13,5,0,3.9,6.3,1000.5
2015/2/14,4.9,0,3.2,9.9,1009.1
2015/2/15,5.5,0,5,9.8,1009.9
2015/2/16,7,0,2.9,9.8,1011.1
2015/2/17,3.9,3,2.4,0,1010.4
2015/2/18,3.3,10.5,3.2,0,1005.6
2015/2/19,6.2,0,2.4,9.2,1008.3
2015/2/20,6.3,0,2.4,7.9,1018.3
2015/2/21,6.2,0,2.4,9.2,1025
2015/2/22,6.3,1.5,1.6,0,1020.1
2015/2/23,10.7,16,2.3,4.9,1007.8
2015/2/24,9.7,0,2,0,1010.2
2015/2/25,9.2,0,2.7,2.8,1016.1
2015/2/26,6.6,14.5,2.6,0,1014.5
2015/2/27,8.2,0,3.8,8.4,1006.1
2015/2/28,7.4,0,3.8,9.2,1021.1
2015/3/1,6.9,29,3.1,0,1010.2
2015/3/2,9.3,0,4.2,10.9,1008.2
2015/3/3,5.6,0.5,2.4,0,1016.3
2015/3/4,9.6,18.5,2.6,5.7,1001.9
2015/3/5,9.3,0,3.7,10.2,1012.6
2015/3/6,7.3,0,2.8,1.9,1021.2
2015/3/7,6,4.5,2.7,0,1020.9
2015/3/8,8.2,0.5,3.4,0,1018.8
2015/3/9,9,23,3,0,1010.7
2015/3/10,7.7,2.5,4.6,3.4,995.3
2015/3/11,6.2,0,3.6,11.1,1005.7
2015/3/12,8.6,0,3.9,10.9,1008.1
2015/3/13,8.9,0,3,10.6,1013
2015/3/14,8.9,0,2.6,6,1016.8
2015/3/15,8.4,0,1.9,3.3,1021.9
2015/3/16,11.1,10,1.9,3.2,1020
2015/3/17,14.5,0.5,2.6,10,1015.5
2015/3/18,14.8,0,2.2,4.3,1014.8
2015/3/19,11.9,5,2.1,0.6,1006.5
2015/3/20,11.8,0,2.3,0.6,1011.1
2015/3/21,10.5,0,2.6,1.9,1013.5
2015/3/22,12.9,0,3.2,9.8,1009.7
2015/3/23,10.7,0,2.9,7.3,1009
2015/3/24,8.2,0,4.6,10.8,1015.8
2015/3/25,8.1,0,5,11.8,1023.2
2015/3/26,9.5,0,3.9,11.8,1026.5
2015/3/27,12.3,0,3,11.9,1020.8
2015/3/28,14.1,0,2.7,8.2,1015.2
2015/3/29,14.6,0,3,5,1011.3
2015/3/30,16.2,0,3.1,11.5,1014.9
2015/3/31,16.7,0,4.7,11.5,1015
2015/4/1,13.9,1.5,2.6,0,1008
2015/4/2,11.6,0,3.8,11.1,1016.3
2015/4/3,17.3,0,6.4,0,1006.7
2015/4/4,13.2,0,3.5,0,1016
2015/4/5,10.3,8,1.5,0,1013.9
2015/4/6,16.2,0,2.1,7.9,1008.6
2015/4/7,10,4.5,3,0,1014
2015/4/8,4.1,20,3.5,0,1022.4
2015/4/9,7.4,0,2.6,8.7,1025.4
2015/4/10,8.3,9.5,2.7,0,1022.1
2015/4/11,11.5,7.5,2.8,0,1018.5
2015/4/12,12.9,0,2.5,8.3,1026.8
2015/4/13,9.7,36.5,3.2,0,1021.3
2015/4/14,12.1,22.5,2,0,1007.7
2015/4/15,15.4,2,4.7,10.2,1000.3
2015/4/16,15.7,0,2.5,9,1007.4
2015/4/17,16.4,3.5,3.2,5.8,1007.4
2015/4/18,14,0,4.2,11.1,1014.2
2015/4/19,14.3,0,1.5,0,1013.9
2015/4/20,18.4,10.5,5.3,0.2,1004.9
2015/4/21,17.5,0.5,3,0,1004.7
2015/4/22,15.7,2.5,2.6,4.8,1015.7
2015/4/23,18,0,2.5,11.6,1016.8
2015/4/24,18.3,0,4.2,6.8,1015.1
2015/4/25,17.2,0,2.7,6.5,1014.6
2015/4/26,17.8,0,3.3,12.4,1017
2015/4/27,19.3,0,2.9,12.3,1014.8
2015/4/28,20.8,0,2.8,10.8,1014.6
2015/4/29,19.4,0,3.3,7.5,1013.7
2015/4/30,19,0,2.4,4.5,1012.9
2015/5/1,20.5,0,2.4,12.2,1011.8
2015/5/2,21,0,2.7,12.3,1013.5
2015/5/3,21.2,0,2.9,8.2,1011
2015/5/4,21.6,0,5.4,7.4,1002.4
2015/5/5,18.3,0,3.8,6.8,1005.3
2015/5/6,18.2,0,3.2,9.4,1010
2015/5/7,19.1,0,2.1,3.2,1008.6
2015/5/8,20.7,0,2.6,10.6,1008.9
2015/5/9,18.7,0,2,0,1008.2
2015/5/10,19.7,0,3.5,10,1009.2
2015/5/11,17.2,0,3.8,11.6,1019
2015/5/12,19.6,58.5,6,1,1008.2
2015/5/13,22.5,0,3.7,11.5,1000.7
2015/5/14,23.1,0,3.2,10.2,1007
2015/5/15,22.7,0,3.4,8.8,1007.3
2015/5/16,20.9,3.5,2.6,0.1,1000.6
2015/5/17,22.2,0,3.1,10,1006.8
2015/5/18,21.5,3.5,3.6,4.8,1009.3
2015/5/19,20.2,4.5,1.9,0,1000.7
2015/5/20,22.2,0.5,2.8,7.9,998.7
2015/5/21,19.5,8.5,4,9.8,1004.1
2015/5/22,20.5,0,4.1,10.1,1010.5
2015/5/23,21.6,0,3,10.3,1009.3
2015/5/24,21,0,2.7,7.4,1005.9
2015/5/25,21.3,0,2.4,6.5,1007.1
2015/5/26,23.3,0,2.6,12.5,1005
2015/5/27,23.9,0,3.2,12.6,1007.2
2015/5/28,22.1,0,3.1,4.7,1011.6
2015/5/29,20.7,9,3,0,1007.1
2015/5/30,23.4,0,3.3,10.3,998.8
2015/5/31,25.7,0,2.6,10.4,1000.2
2015/6/1,23.6,0,3.5,10.7,1009.2
2015/6/2,23.5,0,4.1,8.4,1008.3
2015/6/3,21.7,16,2.4,0,998.1
2015/6/4,23.1,0,4.7,12.5,1001.2
2015/6/5,18.8,27,2.4,2.1,1007.3
2015/6/6,18,23.5,2.7,2.5,1006.1
2015/6/7,20.8,0,3.2,7.8,1016.1
2015/6/8,21,0.5,3.8,5.2,1014.7
2015/6/9,19.5,33,2.5,0,1001.3
2015/6/10,22.6,0,2.8,8.1,1005.6
2015/6/11,23,0,2.6,5.4,1007.2
2015/6/12,21.4,4.5,1.8,0.1,1002.4
2015/6/13,24,0,2.7,3.7,1006.7
2015/6/14,22.5,1.5,2.4,1.6,1007.4
2015/6/15,24.6,0,2.5,12.2,1005.4
2015/6/16,23.3,31,2.2,1.1,1002.8
2015/6/17,21.6,11,2.2,0.6,1003.8
2015/6/18,21.9,0,3,0.7,1008.3
2015/6/19,19.1,10.5,2.7,0,1005.9
2015/6/20,21.7,0,2.9,9.4,1006
2015/6/21,20.6,0.5,1.8,0.1,1007.8
2015/6/22,22.6,0,2.3,2.1,1009.4
2015/6/23,23.4,20,2.7,6.1,1009.3
2015/6/24,23.8,0,2.4,12.4,1007.7
2015/6/25,24.3,0,2.9,7.8,1005.8
2015/6/26,22.4,13,2.4,0.2,1002.4
2015/6/27,22.6,3,1.5,0,994.3
2015/6/28,23.2,0,2.7,8,998.4
2015/6/29,21.6,0,3.2,6.4,1007.1
2015/6/30,22.5,0.5,3.2,2.1,1002.8
2015/7/1,20.5,13.5,2.1,0,992.2
2015/7/2,22.5,2.5,1.9,0.2,999.1
2015/7/3,21.9,67.5,2,0,1003.1
2015/7/4,22.5,4,1.8,0,1005.7
2015/7/5,20.1,20,1.8,0,1008.6
2015/7/6,19.8,14.5,1.7,0,1010.1
2015/7/7,21.3,0,1.5,0,1010.6
2015/7/8,22.4,11,1.7,0.2,1012.1
2015/7/9,19.4,11,2,0,1013.7
2015/7/10,23.2,0.5,2.1,9.1,1012.3
2015/7/11,25.9,0,2.8,11.5,1009.8
2015/7/12,27.2,0,2.7,12.6,1006.9
2015/7/13,29.4,0,5,11.5,1003.5
2015/7/14,29.9,0,6.8,13.3,1002.8
2015/7/15,28.4,0,4.7,13,1005.6
2015/7/16,26.4,63.5,4.8,0.2,1004.5
2015/7/17,26.7,14.5,5.3,1.1,1005.1
2015/7/18,27.2,0.5,5.5,2.7,1006.7
2015/7/19,29.4,0,3.3,8.3,1009.1
2015/7/20,28.8,0,2.4,6.7,1010.6
2015/7/21,29.4,0,3.8,13.2,1009.3
2015/7/22,28.9,0,6.4,13.4,1008.6
2015/7/23,27,4.5,4.5,2.7,1006.9
2015/7/24,28.1,7,2,5.2,1007.2
2015/7/25,28.6,0,2.2,8.4,1006.5
2015/7/26,30.3,0,2.4,12.4,1007.3
2015/7/27,30.4,0,2.7,12.9,1004.4
2015/7/28,29.6,0,2.4,6.4,1003.1
2015/7/29,29.4,0,2.6,3.2,1004.8
2015/7/30,29.1,0,2.2,3.6,1006
2015/7/31,30,0,2.7,10,1006.7
2015/8/1,30.5,0,2.6,8.9,1007.6
2015/8/2,30.2,0,2.6,9.6,1009.2
2015/8/3,29.8,0,3.1,12,1008.7
2015/8/4,30,0,3.4,11.4,1007.4
2015/8/5,30.2,0,4.1,12.8,1007.4
2015/8/6,30.9,0,3,11.9,1009.8
2015/8/7,31.5,0,2.6,9.2,1011.6
2015/8/8,27.6,0,3.2,4.3,1011.6
2015/8/9,27.9,0,2.5,3.4,1008.4
2015/8/10,27.9,1,2.6,2,1006
2015/8/11,29.4,0,2.6,7.8,1003.1
2015/8/12,28.9,0,2.3,3,1002.5
2015/8/13,27.5,1,3,2.2,1000.4
2015/8/14,26.9,2,2.3,1.5,1000.6
2015/8/15,27.7,0,2.5,7.3,1004.8
2015/8/16,27.8,8,2.7,4.7,1006.7
2015/8/17,25.7,33.5,4,0.1,1005.5
2015/8/18,28.2,0,3.8,4.6,1005.3
2015/8/19,27.8,0,3,5,1009.7
2015/8/20,25.6,8,1.9,0,1007.9
2015/8/21,26,2.5,1.9,0.1,1003.8
2015/8/22,28.3,0,3.3,8.2,999
