îNåé,ïΩãœãCâ∑,ïiéøèÓïÒ,ãœéøî‘çÜ
2000/1,7.6,8,1
2000/2,6.0,8,1
2000/3,9.4,8,1
2000/4,14.5,8,1
2000/5,19.8,8,1
2000/6,22.5,8,1
2000/7,27.7,8,1
2000/8,28.3,8,1
2000/9,25.6,8,1
2000/10,18.8,8,1
2000/11,13.3,8,1
2000/12,8.8,8,1
2001/1,4.9,8,1
2001/2,6.6,8,1
2001/3,9.8,8,1
2001/4,15.7,8,1
2001/5,19.5,8,1
2001/6,23.1,8,1
2001/7,28.5,8,1
2001/8,26.4,8,1
2001/9,23.2,8,1
2001/10,18.7,8,1
2001/11,13.1,8,1
2001/12,8.4,8,1
2002/1,7.4,8,1
2002/2,7.9,8,1
2002/3,12.2,8,1
2002/4,16.1,8,1
2002/5,18.4,8,1
2002/6,21.6,8,1
2002/7,28.0,8,1
2002/8,28.0,8,1
2002/9,23.1,8,1
2002/10,19.0,8,1
2002/11,11.6,8,1
2002/12,7.2,8,1
2003/1,5.5,8,1
2003/2,6.4,8,1
2003/3,8.7,8,1
2003/4,15.1,8,1
2003/5,18.8,8,1
2003/6,23.2,8,1
2003/7,22.8,8,1
2003/8,26.0,8,1
2003/9,24.2,8,1
2003/10,17.8,8,1
2003/11,14.4,8,1
2003/12,9.2,8,1
2004/1,6.3,8,1
2004/2,8.5,8,1
2004/3,9.8,8,1
2004/4,16.4,8,1
2004/5,19.6,8,1
2004/6,23.7,8,1
2004/7,28.5,8,1
2004/8,27.2,8,1
2004/9,25.1,8,1
2004/10,17.5,8,1
2004/11,15.6,8,1
2004/12,9.9,8,1
2005/1,6.1,8,1
2005/2,6.2,8,1
2005/3,9.0,8,1
2005/4,15.1,8,1
2005/5,17.7,8,1
2005/6,23.2,8,1
2005/7,25.6,8,1
2005/8,28.1,8,1
2005/9,24.7,8,1
2005/10,19.2,8,1
2005/11,13.3,8,1
2005/12,6.4,8,1
2006/1,5.1,8,1
2006/2,6.7,8,1
2006/3,9.8,8,1
2006/4,13.6,8,1
2006/5,19.0,8,1
2006/6,22.5,8,1
2006/7,25.6,8,1
2006/8,27.5,8,1
2006/9,23.5,8,1
2006/10,19.5,8,1
